Dataset name,Format,Region,Data Dictionary available?,Metadata,Time span,Classification of Trash,Result Units,Characterization,Description,Source,Link,Comments,
Trash in Stormwater,tabular (two files),Bay Area,N/A,Yes (described by report),2011-2012,Yes,"Volume (gallons), Weights (lbs)",Primary,"Monitoring data from 159 sites with full capture devices across the bay area during 4 storm events, contained in an appendix to a pdf report, extracted as two files (one for appendix A and one for appendix C)",BASMAA ,https://www.waterboards.ca.gov/sanfranciscobay/water_issues/programs/stormwater/MRP/BASMAA_Trash_Generation_Rates_Final_Report.pdf,,
Annual solid waste,tabular,Statewide,N/A,Yes,1995-2017,No,Tonnages,Primary,"The DRS reports are based on information reported by permitted facility operators and compiled by county/regional agency disposal reporting coordinators. Exported includes waste sent by California to other states, other countries or to tribal and indian lands. Total Imported is the total amount of waste imported into California landfills from tribal and indian lands, another state or another country and includes imported transformation waste. ADC means CalRecycle-approved alternative daily cover materials other than soil used as a temporary overlay on an exposed landfill face. Note: The reported ADC tonnage may include some amounts used for other beneficial uses, due to variability in local reporting systems.",Cal Recycle,https://www2.calrecycle.ca.gov/LGCentral/DisposalReporting/Statewide/Disposal,,
Residential and Commercial waste by type,tabular,Statewide,https://www2.calrecycle.ca.gov/WasteCharacterization/General,https://www2.calrecycle.ca.gov/Publications/Details/1546,2014,Yes,"Ton, %",Primary,CalRecycle conducts periodic waste characterization studies to better understand the types and amounts of materials disposed in and diverted from California's waste stream.,CalRecycle,https://www2.calrecycle.ca.gov/WasteCharacterization/,https://www2.calrecycle.ca.gov/Publications/Details/1543,
Disposal export by county,tabular,Statewide,https://www.calrecycle.ca.gov/LGCentral/Glossary/#AE,No,2017,No,Ton,Primary,,CalRecycle,https://www2.calrecycle.ca.gov/LGCentral/DisposalReporting/Statewide/ExportByCounty,,
Total trash created by city,tabular,Must select a county,https://www.calrecycle.ca.gov/LGCentral/Glossary/#AE,No,1995-2017,No,Ton,Primary,,CalRecycle,https://www2.calrecycle.ca.gov/LGCentral/DisposalReporting/Origin/CountywideSummary,,
Total trash disposed in a city,tabular,Must select a county,https://www.calrecycle.ca.gov/LGCentral/Glossary/#AE,No,1995-2017,No,Ton,Primary,,CalRecycle,https://www2.calrecycle.ca.gov/LGCentral/DisposalReporting/Destination/CountywideSummary,,
Alternative Daily Cover by material,tabular,Statewide,https://www.calrecycle.ca.gov/LGCentral/Glossary/#AE,No,1995-2017,Yes,Ton,Primary,,CalRecycle,https://www2.calrecycle.ca.gov/LGCentral/DisposalReporting/Statewide/ADCByMaterialType,,
Alternative Intermediate Cover by material,tabular,Statewide,https://www.calrecycle.ca.gov/LGCentral/Glossary/#AE,No,1995-2017,Yes,Ton,Primary,,CalRecycle,https://www2.calrecycle.ca.gov/LGCentral/DisposalReporting/Statewide/AICByMaterialType,,
Beneficial Reuse ,tabular,Statewide,https://www.calrecycle.ca.gov/LGCentral/Glossary/#AE,No,1995-2017,Yes,Ton,Primary,,CalRecycle,https://www2.calrecycle.ca.gov/LGCentral/DisposalReporting/Statewide/BeneficialReuseByMaterialType,,
Alternative Daily Cover by facility,tabular,Statewide,https://www2.calrecycle.ca.gov/LGCentral/DisposalReporting/Statewide/ADCByMaterialType,https://www2.calrecycle.ca.gov/Publications/Details/1556,1995-2017,Yes,Ton,Primary,"Yearly disposal, Total Alternative Daily Cover (ADC) and ADC material types sent to disposal facilities.",CalRecycle,https://drive.google.com/file/d/1c87Yps9CkhEbUYbUZnXGWYyAE3jyASRK/view?usp=sharing,,
Alternative Intermediate Cover by facility,tabular,Statewide,https://www.calrecycle.ca.gov/LGCentral/Glossary/#AE,,1995-2017,Yes,Ton,Primary,"Yearly disposal, Total Alternative Intermediate Cover (AIC) and AIC material types sent to disposal facilities.",CalRecycle,https://drive.google.com/file/d/1_uwCWbDsv6AH3N0RTYdHNPDat106jYCk/view?usp=sharing,,
