Name,Source,Link,Notes,
Trash-Free Waters,EPA,https://www.epa.gov/trash-free-waters,,
West Coast Ocean Data Portal,West Coast Governors Alliance on Ocean Health,http://portal.westcoastoceans.org/,,
Marine Debris Program,NOAA,https://marinedebris.noaa.gov/,,
OpenData Portal,CA Gov,https://data.ca.gov/,,
Cost of Track 1,City of Chico,https://www.chicoer.com/2018/10/04/storm-drain-trash-to-cost-city-5-million-plus/,,
Exports of Recyclable Materials,CalRecycle,https://www2.calrecycle.ca.gov/Publications/Details/1611,Data not publicly available,
Statewide waste prior to 2007,CalRecycle,https://www.calrecycle.ca.gov/LGCentral/AnnualReport/Rates/Graphs/RateTable/,https://www.calrecycle.ca.gov/LGCentral/Basics/AdjMthd/,
Per capita disposal,CalRecycle,https://www.calrecycle.ca.gov/lgcentral/goalmeasure/disposalrate/graphs/disposal,"To avoid issues with the data, a set population number for the state available at the time is used when the per capita disposal rate is calculated for a year.",https://www.calrecycle.ca.gov/LGCentral/Basics/PerCapitaDsp/#UsingPerCapita
State of Disposal,CalRecycle,https://www2.calrecycle.ca.gov/Publications/Details/1612,An extensive description of the disposal infrastructure in California and disposal data trends.,
Tire disposal,CalRecycle,https://www2.calrecycle.ca.gov/Publications/Details/1636,Data not publicly available,
CA Resources Agency Open Data Portal,CA NatRes Agency,https://data.cnra.ca.gov/,,
ERDDAP,NOAA,https://coastwatch.pfeg.noaa.gov/erddap/index.html,Mostly fish & oceanographic onditions,
Data.gov Maritime & Ocean Tabs,Federal govt,https://www.data.gov/maritime/,,
DataOne,NSF collab,https://search.dataone.org/data,,
Fishing and Boating,CDFW,https://map.dfg.ca.gov/fishing/,,
IOOS marine bouy data,NOAA,https://ioos.noaa.gov/data/,,
